 121,38,147,64,0
 193,103,219,129,0
 218,14,244,40,0
 152,214,178,240,0
 219,193,245,219,0
 33,158,59,184,0
 103,59,129,85,0
 106,225,132,251,0
 49,130,75,156,0
 185,185,211,211,0
 162,73,188,99,0
 133,124,159,150,0
 111,72,137,98,0
 122,200,148,226,0
 97,210,123,236,0
 172,94,198,120,0
 185,152,211,178,0
 115,15,141,41,0
 15,20,41,46,0
 195,211,221,237,0
 135,141,161,167,0
 224,224,250,250,0
 162,193,188,219,0
 70,109,96,135,0
 32,179,58,205,0
 84,160,110,186,0
 161,155,187,181,0
 132,198,158,224,0
 115,121,141,147,0
 167,42,193,68,0
 72,184,98,210,0
 55,124,81,150,0
 130,222,156,248,0
 35,190,61,216,0
 134,87,160,113,0
 128,95,154,121,0
 25,67,51,93,0
 46,166,72,192,0
 199,178,225,204,0
 134,138,160,164,0
 186,79,212,105,0
 84,36,110,62,0
 130,162,156,188,0
 148,11,174,37,0
 160,136,186,162,0
 223,173,249,199,0
 125,13,151,39,0
 119,106,145,132,0
 20,196,46,222,0
 63,137,89,163,0
 158,215,184,241,0
 141,33,167,59,0
 140,161,166,187,0
 117,63,143,89,0
 146,197,172,223,0
 11,203,37,229,0
 18,103,44,129,0
 168,31,194,57,0
 210,206,236,232,0
 215,64,241,90,0
 166,29,192,55,0
 208,64,234,90,0
 194,188,220,214,0
 208,207,234,233,0
 175,165,201,191,0
 139,154,165,180,0
 180,73,206,99,0
 222,136,248,162,0
 159,150,185,176,0
 82,98,108,124,0
 47,21,73,47,0
 96,175,122,201,0
 131,14,157,40,0
 132,174,158,200,0
 53,102,79,128,0
 145,31,171,57,0
 185,169,211,195,0
 209,119,235,145,0
 199,223,225,249,0
 181,212,207,238,0
 92,209,118,235,0
 102,217,128,243,0
 162,47,188,73,0
 191,65,217,91,0
 136,47,162,73,0
 46,54,72,80,0
 109,73,135,99,0
 201,112,227,138,0
 177,84,203,110,0
 59,92,85,118,0
 50,106,76,132,0
 174,25,200,51,0
 16,94,42,120,0
 170,110,196,136,0
 219,68,245,94,0
 18,144,44,170,0
 137,112,163,138,0
 195,152,221,178,0
 65,176,91,202,0
 40,85,66,111,0
 182,211,208,237,1
 194,208,220,234,1
 171,147,197,173,1
 67,141,93,167,1
 120,176,146,202,1
 95,27,121,53,1
 67,148,93,174,1
 170,186,196,212,1
 60,48,86,74,1
 73,29,99,55,1
 174,157,200,183,1
 198,120,224,146,1
 79,159,105,185,1
 41,134,67,160,1
 192,224,218,250,1
 167,51,193,77,1
 148,94,174,120,1
 18,104,44,130,1
 52,154,78,180,1
 138,222,164,248,1
 174,153,200,179,1
 17,104,43,130,1
 159,144,185,170,1
 161,183,187,209,1
 203,121,229,147,1
 101,120,127,146,1
 131,187,157,213,1
 222,65,248,91,1
 72,196,98,222,1
 204,130,230,156,1
 155,52,181,78,1
 208,155,234,181,1
 217,56,243,82,1
 147,144,173,170,1
 23,132,49,158,1
 70,150,96,176,1
 199,209,225,235,1
 53,15,79,41,1
 159,61,185,87,1
 115,51,141,77,1
 48,67,74,93,1
 29,113,55,139,1
 137,181,163,207,1
 99,34,125,60,1
 74,116,100,142,1
 116,70,142,96,1
 143,89,169,115,1
 51,190,77,216,1
 110,25,136,51,1
 120,168,146,194,1
 37,93,63,119,1
 120,145,146,171,1
 212,146,238,172,1
 215,51,241,77,1
 32,100,58,126,1
 32,176,58,202,1
 18,223,44,249,1
 183,143,209,169,1
 169,72,195,98,1
 163,59,189,85,1
 203,79,229,105,1
 222,12,248,38,1
 116,41,142,67,1
 156,53,182,79,1
 139,42,165,68,1
 31,162,57,188,1
 34,91,60,117,1
 77,53,103,79,1
 63,72,89,98,1
 29,66,55,92,1
 67,103,93,129,1
 47,192,73,218,1
 155,123,181,149,1
 12,167,38,193,1
 47,92,73,118,1
 113,75,139,101,1
 60,106,86,132,1
 184,209,210,235,1
 53,204,79,230,1
 135,198,161,224,1
 105,52,131,78,1
 215,124,241,150,1
 226,214,252,240,1
 50,51,76,77,1
 60,82,86,108,1
 92,30,118,56,1
 100,58,126,84,1
 185,150,211,176,1
 166,178,192,204,1
 47,163,73,189,1
 118,53,144,79,1
 96,197,122,223,1
 60,39,86,65,1
 79,166,105,192,1
 60,190,86,216,1
 33,95,59,121,1
 202,124,228,150,1
 75,17,101,43,1
 103,85,129,111,1
 163,218,189,244,1
